Time,DCF,SD,PMF
468,15210.2,0,18012.27
471,15210.2,0,18012.27
474,15210.2,0,18012.27
477,15210.2,0,18012.27
480,15210.2,0,18012.27
483,15210.2,0,18012.27
486,15210.2,0,18012.27
489,15210.2,0,18012.27
492,15210.2,0,18012.27
495,15210.2,0,18012.27
498,15210.2,0,18012.27
501,15210.2,0,18012.27
504,15210.2,0,18012.27
507,15210.2,0,18012.27
510,15210.2,0,18012.27
513,15210.2,0,18012.27
516,15210.2,0,18012.27
519,15210.2,0,18012.27
522,15210.2,0,18012.27
525,15210.2,0,18012.27
528,15210.2,0,18012.27
531,15210.2,0,18012.27
534,15210.2,0,18012.27
537,15210.2,0,18012.27
540,15210.2,0,18012.27
543,15210.2,0,18012.27
546,15210.2,0,18012.27
549,15210.2,0,18012.27
552,15210.2,0,18012.27
555,15210.2,0,18012.27
558,15210.2,0,18012.27
561,15210.2,0,18012.27
564,15210.2,0,18012.27
567,15210.2,0,18012.27
570,15210.2,0,18012.27
573,15210.2,0,18012.27
576,15210.2,0,18012.27
579,15210.2,0,18012.27
582,15210.2,0,18012.27
585,15210.2,0,18012.27
588,15210.2,0,18012.27
591,15210.2,0,18012.27
594,15210.2,0,18012.27
597,15210.2,0,18012.27
600,15210.2,0,18012.27
603,15210.2,0,18012.27
606,15210.2,0,18012.27
609,15210.2,0,18012.27
612,15210.2,0,18012.27
615,15210.2,0,18012.27
618,15210.2,0,18012.27
621,15210.2,0,18012.27
624,15210.2,0,18012.27
627,15210.2,0,18012.27
630,15210.2,0,18012.27
633,15210.2,0,18012.27
636,15210.2,0,18012.27
639,15210.2,0,18012.27
642,15210.2,0,18012.27
645,15210.2,0,18012.27
648,15210.2,0,18012.27
651,15210.2,0,18012.27
654,15210.2,0,18012.27
657,15210.2,0,18012.27
660,15210.2,0,18012.27
663,15210.2,0,18012.27
666,15210.2,0,18012.27
669,15210.2,0,18012.27
672,15210.2,0,18012.27
675,15210.2,0,18012.27
678,15210.2,0,18012.27
681,15210.2,0,18012.27
684,15210.2,0,18012.27
687,15210.2,0,18012.27
690,15210.2,0,18012.27
693,15210.2,0,18012.27
696,15210.2,0,18012.27
699,15210.2,0,18012.27
702,15210.2,0,18012.27
705,15210.2,0,18012.27
708,15210.2,0,18012.27
711,15210.2,0,18012.27
714,15210.2,0,18012.27
717,15210.2,0,18012.27
720,15210.2,0,18012.27
723,15210.2,0,18012.27
726,15210.2,0,18012.27
729,15210.2,0,18012.27
732,15210.2,0,18012.27
735,15210.2,0,18012.27
738,15210.2,0,18012.27
741,15210.2,0,18012.27
744,15210.2,0,18012.27
747,15210.2,0,18012.27
750,15210.2,0,18012.27
753,15210.2,0,18012.27
756,15210.2,0,18012.27
759,15210.2,0,18012.27
762,15210.2,0,18012.27
765,15210.2,0,18012.27
768,15210.2,0,18012.27
771,15210.2,0,18012.27
774,15210.2,0,18012.27
777,15210.2,0,18012.27
780,15210.2,0,18012.27
783,15210.2,0,18012.27
786,15210.2,0,18012.27
789,15210.2,0,18012.27
792,15210.2,0,18012.27
795,15210.2,0,18012.27
798,15210.2,0,18012.27
801,15210.2,0,18012.27
804,15210.2,0,18012.27
807,15210.2,0,18012.27
810,15210.2,0,18012.27
813,15210.2,0,18012.27
816,15210.2,0,18012.27
819,15210.2,0,18012.27
822,15210.2,0,18012.27
825,15210.2,0,18012.27
828,15210.2,0,18012.27
831,15210.2,0,18012.27
834,15210.2,0,18012.27
837,15210.2,0,18012.27
840,15210.2,0,18012.27
843,15210.2,0,18012.27
846,15210.2,0,18012.27
849,15210.2,0,18012.27
852,15210.2,0,18012.27
855,15210.2,0,18012.27
858,15210.2,0,18012.27
861,15210.2,0,18012.27
864,15210.2,0,18012.27
867,15210.2,0,18012.27
870,15210.2,0,18012.27
873,15210.2,0,18012.27
876,15210.2,0,18012.27
879,15210.2,0,18012.27
882,15210.2,0,18012.27
885,15210.2,0,18012.27
888,15210.2,0,18012.27
891,15210.2,0,18012.27
894,15210.2,0,18012.27
897,15210.2,0,18012.27
900,15210.2,0,18012.27
903,15210.2,0,18012.27
906,15210.2,0,18012.27
909,15210.2,0,18012.27
912,15210.2,0,18012.27
915,15210.2,0,18012.27
918,15210.2,0,18012.27
921,15210.2,0,18012.27
924,15210.2,0,18012.27
927,15210.2,0,18012.27
930,15210.2,0,18012.27
933,15210.2,0,18012.27
936,15210.2,0,18012.27
939,15210.2,0,18012.27
942,15210.2,0,18012.27
945,15210.2,0,18012.27
948,15210.2,0,18012.27
951,15210.2,0,18012.27
