Time,Spillway,South saddle dam,North saddle dam,Left Non Overflow,Right Non Overflow,Saddle dam
126.23679822123401,95603.82379593494,9915.75249671199,6791.611299117801,63.078177752448156,2467.1001208736193,80063.35839869831
126.40355753196219,95673.54386263875,9991.11729306727,6843.231022648815,65.44970323983084,2478.142474952449,81084.96266792777
126.57031684269037,95736.50766663835,10059.89181848917,6890.336861978884,67.63387621699106,2488.2093086237546,82100.77885863821
126.73707615341856,95792.82309028125,10122.136707879354,6932.970347862571,69.62682432249645,2497.312292850397,83110.74175780381
126.90383546414674,95842.59725460509,10177.917449852495,6971.176335515407,71.42560712320054,2505.4634704208106,84114.79162276776
127.07059477487492,95885.93646384803,10227.304035460165,7005.002764013811,73.0281366088664,2512.6752238427594,85112.87388819201
127.2373540856031,95922.9461541994,10270.37062503811,7034.500428108294,74.43310677957754,2518.960244765603,86104.93888620862
127.40411339633128,95953.73084655892,10307.195232311957,7059.722761857505,75.63993096813347,2524.331504875873,87090.9415791082
127.57087270705946,95978.39410308018,10337.859424951006,7080.725633528087,76.64868580696614,2528.8022282128513,88070.84130395048
127.73763201778765,96000.0224097767,10362.448040801532,7097.567151233926,77.46006095572274,2532.385864851574,89044.60152851672
127.90439132851583,96012.62170686536,10384.026910797007,7112.3471991760325,78.17393195573312,2535.5299071109675,90015.43721689495
128.07115063924402,96019.43355809149,10396.60430458522,7120.96185245563,78.59079361089377,2537.3620285401535,90976.70711006665
128.2379099499722,96020.52979906366,10403.406427035758,7125.62084043545,78.8164788195601,2538.3527546941646,91931.78072192281
128.4046692607004,96016.0088938234,10404.50124086793,7126.370712923241,78.8528188106421,2538.5122057155136,92880.60592732405
128.57142857142856,96005.96791003538,10399.986468551842,7123.278403117701,78.70298841578649,2537.854650123797,93823.16387635296
128.73818788215675,95990.50274283015,10389.96144271031,7116.411947061856,78.37055331155445,2536.3944145366963,94759.43832389149
128.90494719288492,95969.70809303109,10374.527159777646,7105.840520395648,77.85945375564467,2534.14590138614,95689.41572134162
129.07170650361311,95934.57405876502,10353.786096885866,7091.634312935525,77.17398260142664,2531.12357156716,96613.08504421609
129.23846581434128,95892.59496872543,10318.774053471829,7067.653461282074,76.02043129115876,2526.019863594716,97519.98971123897
129.40522512506948,95840.04694071102,10276.992589720776,7039.036020356695,74.64975192849145,2519.926320083619,98418.4781302611
129.57198443579765,95777.11611933722,10224.771643795115,7003.2682491747355,72.94573890996963,2512.3055422360662,99304.08104375063
129.73874374652584,95703.98585318969,10162.349333153443,6960.51324188592,70.92237052719982,2503.189129971271,100176.79765277357
129.905503057254,95620.8366319369,10089.970244743341,6910.938523796809,68.59502571031021,2492.6090720852944,101036.63242267809
